method_id,family,estimand,role,tier,dep_route,fit_fn,score_fn,pkg_status,notes,row_source,lopbo_mechanism
ws-rclr-trimmed,A,within,baseline,R1,base-R,NA,ws_rclr_trimmed,present,rCLR-trimmed baseline (reference; not a candidate),per_cohort_rows,na
ws-alr-pivot,A,within,discriminator,R1,base-R,NA,ws_alr_pivot,present,ALR pivot pool,per_cohort_rows,within_cohort
ws-mad-logratio,A,within,discriminator,R1,base-R,NA,ws_mad_logratio,present,MAD log-ratio,per_cohort_rows,within_cohort
ws-dominance,A,within,discriminator,R1,base-R,fit_dominance_threshold,ws_dominance_score,present,dominance score,per_cohort_rows,within_cohort
frozen-ruv,B,within,discriminator,R1,base-R,fit_frozen_ruv,apply_frozen_ruv,present,frozen RUV denoiser,per_cohort_rows,within_cohort
robust-pca-resid,B,within,discriminator,R1,base-R,fit_robust_pca_residual,apply_robust_pca_residual,present,robust-PCA residual,per_cohort_rows,within_cohort
hemolysis-resid,B,within,discriminator,R1,base-R,fit_hemolysis_rr,apply_hemolysis_rr,present,hemolysis residual removal,per_cohort_rows,within_cohort
kit-stratified-rclr,D,transfer,discriminator,R1,base-R,fit_kit_stratified_rclr,score_kit_stratified_rclr,present,kit-aware,stratum_pooled_upstream,deferred
kit-fe-adjusted-alr,D,transfer,discriminator,R1,base-R,fit_kit_fe_adjusted_alr,score_kit_fe_adjusted_alr,present,kit-aware,stratum_pooled_upstream,deferred
kit-orthogonal-ilr,D,transfer,discriminator,R1,base-R,fit_kit_orthogonal_ilr,score_kit_orthogonal_ilr,present,kit-aware,stratum_pooled_upstream,deferred
kit-residual-mad,D,transfer,discriminator,R1,base-R,fit_kit_residual_mad,score_kit_residual_mad,present,kit-aware,stratum_pooled_upstream,deferred
kit-stable-anchor-rclr,E,transfer,discriminator,R1,base-R,fit_kit_stable_anchors,score_kit_stable_anchor_rclr,present,anchor-denoising,per_cohort_rows,within_cohort
hemolysis-kit-dual-anchor,E,transfer,discriminator,R1,base-R,fit_hemolysis_kit_dual_anchor,score_hemolysis_kit_dual_anchor,present,anchor-denoising,per_cohort_rows,within_cohort
rin-weighted-score,E,transfer,discriminator,R1,base-R,fit_rin_weighted_reference,score_rin_weighted_score,present,anchor-denoising,per_cohort_rows,within_cohort
